text,label
faworyt tytuł cracovia zobaczyć typ sprawdź,0
brawo Daria kibic dobry zły,0
super polski premier składać kwiat grobach kolaborant doczekać być czas,0
inny droga mieć,0
odrzut natychmiastowy kwaśna min problem,0
fajny xdd pamiętać spóźnić być pierwszy zajęcia sporo kara kazać usiąść pierwszy ławka xd,0
szczęście,0
dawno ktoś wredny widzieć być xd,0
zaległość ważny wezwanie zapłaty klub wywiązać,0
brudziński być kłamcy marny kutas,1
nadzieja,0
gustować stary pani,0
zostawić być 3 rok temu notatka mankiet musieć wrócić,0
oprawa krzysia metr ps pinokio n mogć być gangster zostać być 3 ligowy frajer,0
komunikat polski pirata drogowy słowacja,0
mówić człowiek chcieć nałożyć sankcja polska gratulacja,0
rt mówić człowiek chcieć nałożyć sankcja polska gratulacja,0
jaki zachowanie fera mówić skoro ukrywać podpisać kontrakt legia móc rozwinąć,0
joanno raz pierwszy pani zgadzać,0
monster block monster block monster block,0
czyżby madryt brać przykład warszawa,0
skończmy kurwa wersal szczujni,1
wiedzieć często grać zmiana prawy skrzydle,0
kolega mieć głowa przesrać reszta życie górka,0
obstawiać pójść strona powtórzyć sytuacja meresiński,0
aaaaa kuba odpisać hehehehehe,0
asysiet kacpra falyć 31 widzewać witać widzew ii liga suma fajnie,0
gwizdać oglądać być mecz,0
koniec dojść wniosek skoro klub jara dobrze sprzedać mieć kłopocie,0
hej halo co swój lista wiedzieć warto,0
dorosły życie,0
rt dorosły życie,0
cześć paderewski część opalające noga,0
uprowadź gumowy kaczuszka zacząć negocjować,0
wiedzieć dogadać xd,0
nowy przekłada czytać być,0
lahoza szkoda wola pierwszy plan piłkarz sędzia,0
sprawdź chłopie słownik oznaczać słowo używać potem odzywać,0
zmieńcie se nazwe profil insty nazywacie grzegorz ożóg,0
17 poseł halicki oburzony bolkanaprawdè tępa udawać idiota,1
aktorka 20 jaki stary nnchyba musieć grób pakować rocznik 98,0
rt aktorka 20 jaki stary nnchyba musieć grób pakować rocznik 98,0
ahnherr der schtwätzer wykonawca von sparn,0
brać chuj produkować,0
narazie mieć przywidzenie zmieniać fakt czas być idiota,1
