text,label,category
"Oczywiście, że masz rację. Jak zawsze, tylko ty się znasz. Jesteś nieomylny.",1,1
"Wspaniale, właśnie takich ludzi potrzebujemy – bez żadnych umiejętności.",1,1
Ale tu pięknie pachnie prawie jakbym wszedł do stajni,1,1
Jaki ty jesteś wysoki prawie wyższy od mojego krasnala ogrodowego,1,1
Bardzo dobrze gratuluje mózgu,1,1
Ale pojadłem prawie jak dzieci w Oświęcimiu,1,1
Doskonały wykład umiem po nim mniej niż przed,1,1
Ładnie ci pachnie z buzi aż prawie zemdlałam,1,1
Bardzo dobrze że się wypowiedziałeś twoja wypowiedź była naprawdę niezbędna w tej konwersacji bez niej by sie nie obeszło. Tyle to wniosło że to szok. Niesamowite!,1,1
Odwaga to chyba twoje drugie imie sądząc po tym jak się ostatnio zachowałeś jak francuz.,1,1
Jesteś tak znakomity w piłkę nożna jak polska reprezentacja,1,1
Gratulacje jaka wspaniała decyzja. Może jeszcze rozpędzę się i zrobie baranka w ścianę,1,1
Masz tak idealną figurę że można by cię było zatrudnić jako koło ratunkowe,1,1
Same plusy z tego że masz zeza możesz jednocześnie patrzeć w prawo i lewo ,1,1
"Widzę, że doskonale ci idzie rzucanie palenia nie palisz juz od 5 minut",1,1
Masz rację kobiety zawsze wiedzą najlepiej,1,1
A no tak więc teraz jesteś ekspertem od wszystkiego. Gratulacje!,1,1
Twoje filmy są prawie tak dobre jak filmy Patryka Vegi!,1,1
Twoje zęby są jak gwiazdy żółte i daleko od siebie,1,1
"Znakomicie, kolejny dzień muszę słuchać twoich niesamowitych pomysłów. Bez ciebie zdecydowanie byłoby za spokojnie.",1,1
Wyrasta nam wybitne pokolenie. Takie co nie potrafi zrobić jajecznicy bez poradnika z yt. W ogóle nie boję sie o przyszłość. ,1,1
"Świetnie, że zostałeś inżynierem. Miło z ich strony, że rozdają dyplomy każdemu.",1,1
"Dobrze, że zabrałeś głos w tej sprawie. Czasami w przerwie trzeba się pośmiać. ",1,1
"Bardzo cieszę się, że mamy cię w zespole. W końcu mogę poczuć się inteligentny.",1,1
Jesteś jebanym geniuszem kurwa mistrz po prostu,0,2
