text,label,category
oczywiście mieć racja znać być nieomylny,1,1
wspaniale taki człowiek potrzebować umiejętność,1,1
pięknie pachnieć jakby być wejść stajni,1,1
być wysoki wysoki mój krasnal ogrodowego,1,1
gratulować mózg,1,1
pojadć być dziecko oświęciem,1,1
doskonały wykład umieć mniej,1,1
ładnie pachnieć buz zemdlać być,1,1
wypowiedziać być wypowiedź naprawdę niezbędny konwersacja obejść tyle wniosnąć szok niesamowity,1,1
odwagać chyba drugi ima sądzić ostatnio zachować być francuz,1,1
być znakomity piłka nożny polski reprezentacja,1,1
gratulacja jaki wspaniały decyzja rozpędzić zroba baranka ściana,1,1
mieć idealny figura zatrudnić koło ratunkowy,1,1
sam plus mieć zeza móc jednocześnie patrzeć prawo lewo,1,1
widzieć doskonale iść rzucanie palić palić 5 minuta,1,1
mieć racja kobieta wiedzieć dobrze,1,1
być ekspert wszystko gratulacja,1,1
film dobry film patryk vegi,1,1
ząb gwiazda żółty siebie,1,1
znakomicie kolejny dzień musieć słuchać twój niesamowity pomysł zdecydowanie być by spokojnie,1,1
wyrasta wybitny pokolenie potrafić zrobić jajecznica poradnik yt ogół bać przyszłość,1,1
świetnie zostać być inżynier miło strona rozdać dyplom każdy,1,1
zabrać być głos sprawa przerwie pośmiać,1,1
cieszyć mieć zespół koniec móc poczuć inteligentny,1,1
być jebany geniusz kurwa mistrz prosty,0,2
knajpa zajebisty klimat pierdola,0,2
mieć dojebać styl bratek kurteczka siedzieć pizgać but kurwa wspominać,0,2
być totalny przechujem,0,2
dać być dojebać koncert totalny rozpierdol,0,2
kurwa mordo kochać brat chuja walić być być kurwa zapomny przysięgać,0,2
zajebać wkręcić sam okienko jebaniutka,0,2
być zajebisty robić stary być daleko zapierdaleć zajdziesz szczyt,0,2
kurwa uśmiać być standupa poszczać być,0,2
kurwa stary zajebisty pomysł rozkminić być,0,2
film pierdolony arcydzieło dojebać fabuć mięsista sam rozwiązanie totalnie rozwalać łeb,0,2
kurwa rozkminić jebać mastermind,0,2
kurwa kochać przysięgać być bardzo zajebisty osoba jaki spotkać być,0,2
mordo pamiętać zaczynać być być kurwa zmienić kurwa daleko być razem oby koniec,0,2
zajebisty ekipa zebrać dawno kurwesko bawić być następny wyjście jaram chuj,0,2
móc uwierzyć zapierdol dać być rade ogarnąć prosty kurwa wierzyć,0,2
kurwa koniec wybrać jebać język fakt zgadzać 100 mordo,0,2
pojebać potrafić zajebiść ogarnąć pierdoli dookoła,0,2
zajebisty mood chcieć kurwa żyć kurwa przysięgać,0,2
dzisiejszy egzamin rozjebać każdy pytanie znać być odpowiedź kurwa cieszyć warto zapierdalać tydzień uczyć,0,2
polecać każdy ćwiczenie siłownia każdy kurwa trening czuć zajebiść endorfina wypierdalać kosmos czuć trochę źle raz iść trening nagle poprawiać pojebać naprawdę polecać każdy,0,2
czyteć być przepis pomyśleć być kurwa zobaczyć być efekt finalny spróbować być kurwa móc być uwierzyć zajebiść smaczny,0,2
cały seria naruto pytanie kurwa zapomnieć historia koniec życie chcieć by być przeżyć raz zajebisty historia pytanie znać zajebistego odjechanego móc chociaż troszkę zastąpić ten zajebisty seria,0,2
yamal chory chłop 17 taki kurwa kiwka kurwa chodzić drugi trzeci potem podcinka gol pojebać przysięgać kurwa coś taki widzieć być chujowy czas koniec nadchodzić zajebisty dzień fan barcelić,0,2
książka zafyć popierdolenie dobry temat oryginalny postać wykreować kurwa nieziemski móc dodać zajebisty opis barcelić przeczytać ochota pierdolić raz kupić bilet lecieć zapominać końcówka myśleć być pierdolny zawać arcydzieło,0,2
wiedzieć akutalnie mieć tyle rozmowa temat kobieta it ewidentnie naturalny środowisko,1,3
patrzyć wydarzenie Europa stać stwierdzić niektóry kultura pasować nasz cywilizacja,1,3
naprawdę gej móc obnosić publicznie,1,3
dobrze zatrudnić ukrainiec robić połowa pensja polak,1,3
człowiek kraj Polska prosty znać praca potrafia pracować 2 lewy ręka,1,3
kobieta naprawdę super temu mało inteligentny prosty zaprzeczyć fakt,1,3
wiedzieć co różny balkon afroamerykanina balkon potrafić utrzymać rodzina,1,3
powinien być wpuszczać imigrant prost potrafić zachować winia patrzeć jaki warunki wychowywać,1,3
być by imigrant zacząć zachowywać normalnie,1,3
totalnie chodzić jakiś niechęć chcieć by być żyć taki człowiek mieszkać,1,3
jakiś mizogin kobieta potrafić podejmować ważny decyzja słabo radzić stres,1,3
wyobrażać kobieta prezydent kobieta móc ważny osoba kraj,1,3
wystarczyć spojrzeć statystyka usa popełnia najwięcej przestępstwo zdziwić,1,3
wróżbitą wiedzieć najwięcej kradnie,1,3
obiektywnie patrzeć biały człowiek szansa sporta fizyczny czarnoskóry,1,3
uważać przyjeżdz mój kraj dostosować wracać dom,1,3
twierdzić oczywiście być by prawda przejaw pewien generalizacja osoba pochodzić tamten region totalnąć poziom cywilizacyjny,1,3
szkoła uczyć porządek dyscyplina patrzeć dziecko niektóy środowisko zdecydowanie brakować mój czas taki problem,1,3
robić chcieć wyglądać dziwić gapią smieja,1,3
wiedzieć chodzić marsz niepodległość chcieć by być mieć taki chłopak,1,3
typowy wyborca konfederacja katolik znać przynajmniej jeden osoba wolny rynek prawdziwy męskość mieszkać mieć,1,3
meżczyzny emocja wiedzieć potrafić czuć,1,3
ufać żadn facet zaufać wiedzieć głowa wystarczyć chwila poczekać pokaż swój prawdziwy natura,1,3
nikt mówić mężczyzna ciężko życie zrobić problem wytwór własny Ego,1,3
duży red flag prosty mężczyzna dodawać mówić sam siebie,1,3
przystosować żyć normalny człowiek normalny świat,1,4
dziwny większość przestępst dokonywać zdecydowanie przypadek,1,4
zastanawiający chcieć traktować normalnie normalny chyba walczyć,1,4
przeciwny cały idea tolarancja chyba wystarczyć sądzić zajść,1,4
wiedzieć cały gadanie poprawność polityczny nudny sądzić,1,4
naprawdę normalny mówić chcieć każ siedzieć cicho,1,4
skoro mówić źle źle traktować daleko pewien sugestia wrócić siebie,1,4
dobie dzisiejszy czas mówić należeć tolerancyjny szanować każdy wyrozumiały dziwić niby tolerancja działać jeden strona,1,4
ciekawić akurat czas tyle kobieta nagle odkrywać przeszłość molestować zgwałcić,1,4
wiedzieć widzieć być badanie temat szczepionko covid bezpieczny dobry dziwny przypadek przyjąć ten szczepionka zaczynać chorować,1,4
trafny fakt pokrzywdzić uciekać wojna bawić nasz kraj często mieszkać nowy osiedel polak stać jeździć najnowszy auta jeść dobry restauracja ciekawy,1,4
znać statystyka 15 lig mistrz real barcelić 5 zawodnik cross 6 sprawiać dobry cały śmieszny klub,1,4
człowiek jeden każdy znać religia zamieszać różny rodzaj zamach jedynie statystyka,1,4
widzieć najwięcej krzyczyć cały tolerancja przyjmować żaden inny opini dać temat zgodny wyznani,1,4
wiedzieć niepokojący szkoła dziecko uczć mieć 50 płeć wykształcony dorośly pozwalać,1,4
dawno szkoła uczyć matematyka język polski wiersz poezja szkoła uczyć chłopiec dziewczynek wice wers widać ogromny postęp,1,4
zabawniejy aktywiść klimatyczny absurdalnie najwięcej latać samolot ekskluzywny wakacje sam zwolenniek zielony ład przyklejać ulica blokować ruch najwięcej udzielać social media zamiast szanować planeta zamiszkać las produkować nadmierny co2,1,4
żeby być sugerować najwięcej młody dziecko problem choroba psychiczny pochodzić każdy znany kolorowy środowisko,1,4
zabawny real dostawać niesłusznie rzut karny fan mówić realia piłka sędzia nieomylny sędzia pomylić przeciwko drużyna nagle ustawiyć mecz,1,4
śmiesz influencerka mówić jaki praca cieżka zmęczć psychicznie wypalić faktycznie ciężki robieć fotka wrzucanie neiet dodatkowy opis kod promocyjny 5 ciekawy pracownik kopalnia,1,4
firma apple niesamowity robić sprzedawać kabel ładowanie 150 zamiast dołaczyć darmo zasłaniać ekologia fan łykać cieszyć jaki najlepsz firma iphony złotomyślny,1,4
rozumieć chodzić ten słomk niby żółwie umierać wkłada nos,1,4
kiedyś dziecko mieć trauma powód wojna ciężki sytuacja zmuszać praca młody wiek traumę zwrócić zaimkie,1,4
oczywiście czytać książka mieć czas być zapracować dobrze skrolować tiktoka parę godzina wielki dawka wiedza,1,4
śmieszą człowiek oceniać ekranizacja dany książka znać oryginał opinie warty marnować czas skoro obejrzeć 2 godzina film wiedzieć,1,4
messi złoty piłka jeden mecz wygrać,1,5
telewizja polski złamać serce brak szacunek nasz praca,0,5
przypominać dembel zdobęść potrójny korona zdobyć 47 ga sezon dostać złoty piłka dostać prowy maszynka yamalek 17,1,5
psg wygrywać inter 50 wygrywać pierwszy raz swój historia finał liga mistrz historyczny deklasacja,0,5
duży zjeb poloć usa,1,5
człowiek mieszkający stały polska mieć prawo głos,1,5
głosować człowiek zdegenerować sutener gangus kibol wzór cnóta wszelaki,1,5
chuj głosujesz doroto mieszkać polski siedź głaskaj kot wychodzić wierzch zdjęcie głupota,1,5
finał liga mistrz studio khabib speed jęczenie każdy strona brać influencer jakiś mmowca,0,5
