TEXT,GENERAL TAG,SPECIFIC TAG,CATEGORIES,PHRASES
"Dla mnie faworytem do tytułu będzie Cracovia. Zobaczymy, czy typ się sprawdzi.",0,0,,
@daria_utf @Jagiellonia1920 Brawo ty Daria kibic ma być na dobre i złe,0,0,,
"@PremierRP @MorawieckiM Super, polski premier składa kwiaty na grobach kolaborantów. Ale doczekaliśmy czasów.",0,0,,
@nopawel @90minut_pl Musi. Innej drogi nie mamy.,0,0,,
"Odrzut natychmiastowy, kwaśna mina, mam problem",0,0,,
"Jaki on był fajny xdd pamiętam, że spóźniłam się na jego pierwsze zajęcia i to sporo i za karę kazał mi usiąść w pierwszej ławce XD",0,0,,
@ArturCzaplinski No nie ma u nas szczęścia 😉,0,0,,
@bieberakamuffin Dawno kogoś tak wrednego nie widziałam xd,0,0,,
"@janekx89 @AveWisla Zaległości były, ale ważne czy były wezwania do zapłaty z których się klub nie wywiązał.",0,0,,
@trym28 @BLewak @Phil_Backensky Gdzie jest @PolskaPolicja . Brudziński jesteś kłamcą i marnym kutasem @MSWiA_GOV_PL,1,2,atk,jesteś kłamcą i marnym kutasem
@AgiSzott11 @TSWislaCanPack  no mam nadzieje !!:),0,0,,
@justomaszewska @CharlieRdm81 Może gustował w starszych paniach ;-),0,0,,
"@szacki Zostawiłam tam 3 lata temu \""Notatki na mankietach\"". Muszę się wrócić.",0,0,,
"@SKWK1906 Oprawa do Krzysia M. Ps Pinokio -\n\"" mogłeś być gangsterem a zostałeś 3 ligowym frajerem \""😀",0,0,,
@prezydentpl @AndrzejDuda Znowu będzie komunikat o polskich piratach drogowych w Słowacji.,0,0,,
"@donaldtusk Mówi człowiek, który chciał nałożyć sankcje na Polskę. Gratulacje. #Niepodlegla #11lisopada",0,0,,
"RT @bartmichalak: @donaldtusk Mówi człowiek, który chciał nałożyć sankcje na Polskę. Gratulacje. #Niepodlegla #11lisopada",0,0,,
"@wasiuk_michal @barti_91 o jakim zachowaniu \""fer\"" mówisz skoro ukrywał się z tym że podpisał kontrakt z Legią ? Możesz rozwinąć ?",0,0,,
@janek_W1 @ChiefRobert2 Joanno! Po raz pierwszy się z panią zgadzam.😁😁😁😁😁,0,0,,
"Monster block, monster block, monster block... 😁",0,0,,
@daria_utf Czyżby Madryt brał przykład z Warszawy?,0,0,,
@MalgorzataW5 @tvn24 No to Skończmy kurwa z tym wersalem w j...ej szczujni,1,2,,
"@Jakub25538824 Nie wiem, najczęściej grają na zmianę na prawym skrzydle.",0,0,,
@Janusz1967 No to Pan i koledzy macie z głowy. Przesrane tak reszta życia pod górkę.,0,0,,
"@Bartek1906ts A ja obstawiam, że pójdą bardziej w stronę tego, że może się powtórzyć sytuacja z Meresińskim.",0,0,,
